               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.039346,           0.0070279,            0.074294,             0.62988,             0.84099,             0.72377,             0.22485,            0.038358,           0.0052258,            0.074189,           0.0073565,           0.0073565,            0.017457
                  90,            0.036014,           0.0081928,             0.07423,             0.61782,             0.81625,             0.73108,             0.41791,            0.030622,           0.0052943,            0.074142,           0.0074038,           0.0074038,            0.016504
                  91,            0.041238,           0.0062192,            0.074256,             0.57944,             0.84452,             0.70822,             0.40399,            0.034869,           0.0052867,            0.074184,           0.0074501,           0.0074501,             0.01555
                  92,            0.037124,           0.0070419,            0.074258,             0.62354,             0.82332,             0.74639,             0.46106,            0.029295,           0.0052052,            0.074131,           0.0074954,           0.0074954,            0.014595
                  93,            0.037739,           0.0071297,            0.074139,             0.62819,             0.75265,             0.72677,             0.43691,            0.030894,           0.0050733,            0.074133,           0.0075396,           0.0075396,             0.01364
                  94,            0.033959,            0.006857,            0.074107,             0.66564,             0.74205,             0.71381,             0.32608,             0.03177,           0.0049355,            0.074102,           0.0075828,           0.0075828,            0.012683
                  95,             0.03811,           0.0070279,            0.074125,             0.60937,             0.82332,              0.7188,             0.40687,            0.029999,           0.0049935,            0.074109,           0.0076249,           0.0076249,            0.011725
                  96,            0.033727,            0.007663,             0.07417,             0.64114,             0.83964,             0.77492,             0.49157,            0.029356,           0.0049134,            0.074136,            0.007666,            0.007666,            0.010766
                  97,            0.038087,           0.0063485,            0.074145,             0.62144,              0.8585,             0.76977,              0.4464,             0.03149,           0.0048692,            0.074119,            0.007706,            0.007706,            0.009806
                  98,             0.03594,           0.0067126,            0.074172,             0.69643,             0.74912,             0.75858,             0.46515,            0.030032,           0.0049138,            0.074096,            0.007745,            0.007745,            0.008845
                  99,            0.037457,           0.0068379,            0.074175,             0.63898,             0.85684,             0.77889,             0.38438,            0.033031,           0.0048182,            0.074084,           0.0077829,           0.0077829,           0.0078829
                 100,            0.037758,            0.006947,            0.074173,              0.7181,             0.84099,             0.79756,             0.40931,            0.028831,           0.0048872,            0.074078,             0.00775,             0.00775,             0.00775
                 101,            0.038732,           0.0062331,            0.074141,             0.65122,             0.81272,             0.75224,             0.40135,            0.035214,           0.0047627,            0.074104,             0.00775,             0.00775,             0.00775
                 102,            0.038719,            0.006962,            0.074239,             0.63604,             0.88339,              0.7297,             0.44638,            0.029009,            0.004819,            0.074054,           0.0077091,           0.0077091,           0.0077091
                 103,            0.034428,           0.0068553,            0.074116,               0.611,             0.89046,             0.72559,             0.46322,            0.027457,           0.0047137,            0.074082,           0.0076679,           0.0076679,           0.0076679
                 104,            0.031714,            0.006239,            0.074134,              0.6857,             0.93281,             0.79788,             0.42549,            0.028554,           0.0045647,            0.074176,           0.0076265,           0.0076265,           0.0076265
                 105,             0.03494,           0.0061314,            0.074122,             0.69771,             0.87266,             0.82635,             0.49616,            0.033257,           0.0044835,            0.074143,           0.0075848,           0.0075848,           0.0075848
                 106,             0.03326,           0.0063451,             0.07415,             0.73524,             0.86572,             0.81718,             0.51948,            0.028339,            0.004522,            0.074123,            0.007543,            0.007543,            0.007543
                 107,            0.033087,             0.00644,            0.074045,             0.74554,             0.82332,             0.81679,             0.45449,            0.029065,            0.004455,            0.074075,           0.0075009,           0.0075009,           0.0075009
